Nome da IA;Data do Teste;Categoria do Teste;Subcategoria;Prompt (Pergunta);ID do Teste;Resposta da IA;Tempo de Resposta (s);Pontuação (0-10)
Claude 3.5;;Revisão de Literatura;Oncologia;Resuma os principais achados do estudo 'CheckMate 067' sobre o tratamento de melanoma avançado.;SAU_004;;;
Grok 2;;Revisão de Literatura;Oncologia;Resuma os principais achados do estudo 'CheckMate 067' sobre o tratamento de melanoma avançado.;SAU_004;;;
Perplexity;;Revisão de Literatura;Oncologia;Resuma os principais achados do estudo 'CheckMate 067' sobre o tratamento de melanoma avançado.;SAU_004;;;
DeepSeek R1;;Revisão de Literatura;Oncologia;Resuma os principais achados do estudo 'CheckMate 067' sobre o tratamento de melanoma avançado.;SAU_004;;;
;;;;;;;;
Manus;;Ética Médica;Bioética;Quais os dilemas éticos envolvidos no uso de IA para triagem de pacientes em unidades de terapia intensiva?;SAU_005;;;
Chat.Z.Ai;;Ética Médica;Bioética;Quais os dilemas éticos envolvidos no uso de IA para triagem de pacientes em unidades de terapia intensiva?;SAU_005;;;
Claude 3.5;;Ética Médica;Bioética;Quais os dilemas éticos envolvidos no uso de IA para triagem de pacientes em unidades de terapia intensiva?;SAU_005;;;
Grok 2;;Ética Médica;Bioética;Quais os dilemas éticos envolvidos no uso de IA para triagem de pacientes em unidades de terapia intensiva?;SAU_005;;;
Perplexity;;Ética Médica;Bioética;Quais os dilemas éticos envolvidos no uso de IA para triagem de pacientes em unidades de terapia intensiva?;SAU_005;;;
DeepSeek R1;;Ética Médica;Bioética;Quais os dilemas éticos envolvidos no uso de IA para triagem de pacientes em unidades de terapia intensiva?;SAU_005;;;
;;;;;;;;
Manus;;Interpretação de Exames;Hematologia;Hemoglobina 9.5 g/dL, VCM 72 fL, HCM 24 pg, RDW 18%. Qual o padrão hematológico e possíveis causas?;SAU_006;;;
Chat.Z.Ai;;Interpretação de Exames;Hematologia;Hemoglobina 9.5 g/dL, VCM 72 fL, HCM 24 pg, RDW 18%. Qual o padrão hematológico e possíveis causas?;SAU_006;;;
Claude 3.5;;Interpretação de Exames;Hematologia;Hemoglobina 9.5 g/dL, VCM 72 fL, HCM 24 pg, RDW 18%. Qual o padrão hematológico e possíveis causas?;SAU_006;;;
Grok 2;;Interpretação de Exames;Hematologia;Hemoglobina 9.5 g/dL, VCM 72 fL, HCM 24 pg, RDW 18%. Qual o padrão hematológico e possíveis causas?;SAU_006;;;
Perplexity;;Interpretação de Exames;Hematologia;Hemoglobina 9.5 g/dL, VCM 72 fL, HCM 24 pg, RDW 18%. Qual o padrão hematológico e possíveis causas?;SAU_006;;;
DeepSeek R1;;Interpretação de Exames;Hematologia;Hemoglobina 9.5 g/dL, VCM 72 fL, HCM 24 pg, RDW 18%. Qual o padrão hematológico e possíveis causas?;SAU_006;;;
;;;;;;;;
Manus;;Dosagem de Medicamentos;Farmacologia;Como estruturo o cálculo exato de gotejamento para administrar 500 mL de soro fisiológico a 0,9% em 8 horas utilizando um equipo macrogotas?;SAU_007;;;
Chat.Z.Ai;;Dosagem de Medicamentos;Farmacologia;Como estruturo o cálculo exato de gotejamento para administrar 500 mL de soro fisiológico a 0,9% em 8 horas utilizando um equipo macrogotas?;SAU_007;;;
Claude 3.5;;Dosagem de Medicamentos;Farmacologia;Como estruturo o cálculo exato de gotejamento para administrar 500 mL de soro fisiológico a 0,9% em 8 horas utilizando um equipo macrogotas?;SAU_007;;;
Grok 2;;Dosagem de Medicamentos;Farmacologia;Como estruturo o cálculo exato de gotejamento para administrar 500 mL de soro fisiológico a 0,9% em 8 horas utilizando um equipo macrogotas?;SAU_007;;;
Perplexity;;Dosagem de Medicamentos;Farmacologia;Como estruturo o cálculo exato de gotejamento para administrar 500 mL de soro fisiológico a 0,9% em 8 horas utilizando um equipo macrogotas?;SAU_007;;;
DeepSeek R1;;Dosagem de Medicamentos;Farmacologia;Como estruturo o cálculo exato de gotejamento para administrar 500 mL de soro fisiológico a 0,9% em 8 horas utilizando um equipo macrogotas?;SAU_007;;;
;;;;;;;;
Manus;;Interpretação e coerência;Epidemiologia;Quais as metodologias mais eficazes para analisar o impacto da desinformação e das fake news na queda da adesão vacinal entre jovens brasileiros entre os anos de 2018 e 2025?;SAU_008;;;
Chat.Z.Ai;;Interpretação e coerência;Epidemiologia;Quais as metodologias mais eficazes para analisar o impacto da desinformação e das fake news na queda da adesão vacinal entre jovens brasileiros entre os anos de 2018 e 2025?;SAU_008;;;
Claude 3.5;;Interpretação e coerência;Epidemiologia;Quais as metodologias mais eficazes para analisar o impacto da desinformação e das fake news na queda da adesão vacinal entre jovens brasileiros entre os anos de 2018 e 2025?;SAU_008;;;
Grok 2;;Interpretação e coerência;Epidemiologia;Quais as metodologias mais eficazes para analisar o impacto da desinformação e das fake news na queda da adesão vacinal entre jovens brasileiros entre os anos de 2018 e 2025?;SAU_008;;;
Perplexity;;Interpretação e coerência;Epidemiologia;Quais as metodologias mais eficazes para analisar o impacto da desinformação e das fake news na queda da adesão vacinal entre jovens brasileiros entre os anos de 2018 e 2025?;SAU_008;;;
DeepSeek R1;;Interpretação e coerência;Epidemiologia;Quais as metodologias mais eficazes para analisar o impacto da desinformação e das fake news na queda da adesão vacinal entre jovens brasileiros entre os anos de 2018 e 2025?;SAU_008;;;
;;;;;;;;
Manus;;Origem tecidual cardíaca;Embriologia;Qual é a origem embriológica exata do sistema condutor do coração e em qual semana do desenvolvimento as anomalias de septação costumam se consolidar?;SAU_009;;;
Chat.Z.Ai;;Origem tecidual cardíaca;Embriologia;Qual é a origem embriológica exata do sistema condutor do coração e em qual semana do desenvolvimento as anomalias de septação costumam se consolidar?;SAU_009;;;
Claude 3.5;;Origem tecidual cardíaca;Embriologia;Qual é a origem embriológica exata do sistema condutor do coração e em qual semana do desenvolvimento as anomalias de septação costumam se consolidar?;SAU_009;;;
Grok 2;;Origem tecidual cardíaca;Embriologia;Qual é a origem embriológica exata do sistema condutor do coração e em qual semana do desenvolvimento as anomalias de septação costumam se consolidar?;SAU_009;;;
Perplexity;;Origem tecidual cardíaca;Embriologia;Qual é a origem embriológica exata do sistema condutor do coração e em qual semana do desenvolvimento as anomalias de septação costumam se consolidar?;SAU_009;;;
DeepSeek R1;;Origem tecidual cardíaca;Embriologia;Qual é a origem embriológica exata do sistema condutor do coração e em qual semana do desenvolvimento as anomalias de septação costumam se consolidar?;SAU_009;;;
;;;;;;;;
Manus;;Modulação noraadrenérgica;Neuroanatomia;Como ocorre a modulação descendente da dor no corno posterior da medula espinhal, e qual o papel fisiológico da substância cinzenta periaquedutal nesse processo de analgesia?;SAU_010;;;
Chat.Z.Ai;;Modulação noraadrenérgica;Neuroanatomia;Como ocorre a modulação descendente da dor no corno posterior da medula espinhal, e qual o papel fisiológico da substância cinzenta periaquedutal nesse processo de analgesia?;SAU_010;;;
Claude 3.5;;Modulação noraadrenérgica;Neuroanatomia;Como ocorre a modulação descendente da dor no corno posterior da medula espinhal, e qual o papel fisiológico da substância cinzenta periaquedutal nesse processo de analgesia?;SAU_010;;;
Grok 2;;Modulação noraadrenérgica;Neuroanatomia;Como ocorre a modulação descendente da dor no corno posterior da medula espinhal, e qual o papel fisiológico da substância cinzenta periaquedutal nesse processo de analgesia?;SAU_010;;;
Perplexity;;Modulação noraadrenérgica;Neuroanatomia;Como ocorre a modulação descendente da dor no corno posterior da medula espinhal, e qual o papel fisiológico da substância cinzenta periaquedutal nesse processo de analgesia?;SAU_010;;;
DeepSeek R1;;Modulação noraadrenérgica;Neuroanatomia;Como ocorre a modulação descendente da dor no corno posterior da medula espinhal, e qual o papel fisiológico da substância cinzenta periaquedutal nesse processo de analgesia?;SAU_010;;;
 ;;;;;;;;
Manus;;Bioquímica Nutricional;Bioquímica;De que maneira a deficiência severa de vitamina B12 interfere no ciclo da metionina e quais as repercussões celulares dessa interrupção?;SAU_011;;;
Chat.Z.Ai;;Bioquímica Nutricional;Bioquímica;De que maneira a deficiência severa de vitamina B12 interfere no ciclo da metionina e quais as repercussões celulares dessa interrupção?;SAU_011;;;
Claude 3.5;;Bioquímica Nutricional;Bioquímica;De que maneira a deficiência severa de vitamina B12 interfere no ciclo da metionina e quais as repercussões celulares dessa interrupção?;SAU_011;;;
Grok 2;;Bioquímica Nutricional;Bioquímica;De que maneira a deficiência severa de vitamina B12 interfere no ciclo da metionina e quais as repercussões celulares dessa interrupção?;SAU_011;;;
Perplexity;;Bioquímica Nutricional;Bioquímica;De que maneira a deficiência severa de vitamina B12 interfere no ciclo da metionina e quais as repercussões celulares dessa interrupção?;SAU_011;;;
DeepSeek R1;;Bioquímica Nutricional;Bioquímica;De que maneira a deficiência severa de vitamina B12 interfere no ciclo da metionina e quais as repercussões celulares dessa interrupção?;SAU_011;;;
;;;;;;;;
Manus;;Alterações no perfil lípidico;Bioquímica Clínica;Quais são as alterações bioquímicas primárias esperadas no perfil lipídico e nas enzimas hepáticas de um paciente com síndrome metabólica grave?;SAU_012;;;
Chat.Z.Ai;;Alterações no perfil lípidico;Bioquímica Clínica;Quais são as alterações bioquímicas primárias esperadas no perfil lipídico e nas enzimas hepáticas de um paciente com síndrome metabólica grave?;SAU_012;;;
Claude 3.5;;Alterações no perfil lípidico;Bioquímica Clínica;Quais são as alterações bioquímicas primárias esperadas no perfil lipídico e nas enzimas hepáticas de um paciente com síndrome metabólica grave?;SAU_012;;;
Grok 2;;Alterações no perfil lípidico;Bioquímica Clínica;Quais são as alterações bioquímicas primárias esperadas no perfil lipídico e nas enzimas hepáticas de um paciente com síndrome metabólica grave?;SAU_012;;;
Perplexity;;Alterações no perfil lípidico;Bioquímica Clínica;Quais são as alterações bioquímicas primárias esperadas no perfil lipídico e nas enzimas hepáticas de um paciente com síndrome metabólica grave?;SAU_012;;;
DeepSeek R1;;Alterações no perfil lípidico;Bioquímica Clínica;Quais são as alterações bioquímicas primárias esperadas no perfil lipídico e nas enzimas hepáticas de um paciente com síndrome metabólica grave?;SAU_012;;;
